Title,Year,Average_Annual_Wage,Inflation_Adjusted_2009_Annual_Wage,Annual_Wage_in_2009_Dollars,National_Average,Percent_Difference_From_National_Average
Management Occupations,2009,102900,102900,102900,43460,137
Legal Occupations,2009,95820,95820,95820,43460,120
Computer and Mathematical Occupations,2009,76290,76290,76290,43460,76
Architecture and Engineering Occupations,2009,73590,73590,73590,43460,69
Healthcare Practitioners and Technical Occupations,2009,69690,69690,69690,43460,60
Business and Financial Operations Occupations,2009,65900,65900,65900,43460,52
"Life, Physical, and Social Science Occupations",2009,65660,65660,65660,43460,51
"Arts, Design, Entertainment, Sports, and Media Occupations",2009,51720,51720,51720,43460,19
"Education, Training, and Library Occupations",2009,49530,49530,49530,43460,14
National average,2009,43460,43460,43460,43460,0
Construction and Extraction Occupations,2009,43350,43350,43350,43460,0
Community and Social Service Occupations,2009,42750,42750,42750,43460,-2
"Installation, Maintenance, and Repair Occupations",2009,42210,42210,42210,43460,-3
Protective Service Occupations,2009,41740,41740,41740,43460,-4
Sales and Related Occupations,2009,36020,36020,36020,43460,-17
Production Occupations,2009,33290,33290,33290,43460,-23
Office and Administrative Support Occupations,2009,32990,32990,32990,43460,-24
Transportation and Material Moving Occupations,2009,32180,32180,32180,43460,-26
Healthcare Support Occupations,2009,26710,26710,26710,43460,-39
Building and Grounds Cleaning and Maintenance Occupations,2009,24970,24970,24970,43460,-43
Personal Care and Service Occupations,2009,24680,24680,24680,43460,-43
"Farming, Fishing, and Forestry Occupations",2009,23990,23990,23990,43460,-45
Food Preparation and Serving Related Occupations,2009,20880,20880,20880,43460,-52
Management Occupations,2010,105440,103744,104582,44049,137
Legal Occupations,2010,96940,96606,96152,44049,118
Computer and Mathematical Occupations,2010,77230,76916,76602,44049,74
Architecture and Engineering Occupations,2010,75550,74193,74936,44049,70
Healthcare Practitioners and Technical Occupations,2010,71280,70261,70700,44049,61
Business and Financial Operations Occupations,2010,67690,66440,67139,44049,52
"Life, Physical, and Social Science Occupations",2010,66390,66198,65850,44049,49
"Arts, Design, Entertainment, Sports, and Media Occupations",2010,52290,52144,51865,44049,18
"Education, Training, and Library Occupations",2010,50440,49936,50030,44049,14
National average,2010,44410,43816,44049,44049,0
Construction and Extraction Occupations,2010,43870,43705,43513,44049,-1
Community and Social Service Occupations,2010,43180,43101,42829,44049,-3
"Installation, Maintenance, and Repair Occupations",2010,42810,42556,42462,44049,-4
Protective Service Occupations,2010,42490,42082,42144,44049,-4
Sales and Related Occupations,2010,36790,36315,36491,44049,-17
Production Occupations,2010,33770,33563,33495,44049,-24
Office and Administrative Support Occupations,2010,33470,33261,33198,44049,-25
