Title,Y2009,Y2019,change
Management Occupations,102900,103518,1
Legal Occupations,95820,92658,-3
Computer and Mathematical Occupations,76290,79245,4
Architecture and Engineering Occupations,73590,75052,2
Healthcare Practitioners and Technical Occupations,69690,70691,1
Business and Financial Operations Occupations,65900,66034,0
"Life, Physical, and Social Science Occupations",65660,65536,0
"Arts, Design, Entertainment, Sports, and Media Occupations",51720,52368,1
"Education, Training, and Library Occupations",49530,48776,-2
National average,43460,45209,4
Construction and Extraction Occupations,43350,44440,3
Community and Social Service Occupations,42750,42665,0
"Installation, Maintenance, and Repair Occupations",42210,42369,0
Protective Service Occupations,41740,42158,1
Sales and Related Occupations,36020,36394,1
Office and Administrative Support Occupations,32990,34686,5
Production Occupations,33290,33926,2
Transportation and Material Moving Occupations,32180,32049,0
"Farming, Fishing, and Forestry Occupations",23990,26488,10
Personal Care and Service Occupations,24680,26421,7
Building and Grounds Cleaning and Maintenance Occupations,24970,26412,6
Healthcare Support Occupations,26710,26209,-2
Food Preparation and Serving Related Occupations,20880,22541,8
